campaign_name,campaign_id,adset_id,created_at
AND_LK_Asia(TH)_M_25-65+_CPA[ad_displayed_20]_17112025_KH_noCBO_bc_ENG,,,2025-11-17 16:57:10
AND_PM_Asia(ID)_M_25-65+_CPA[session_started_4]_17112025_KH_noCBO_bc_ID,,,2025-11-17 17:24:27
AND_LK_Tier-1(AU,CA)_M_24-65+_CPA[session_started_3]_17112025_KH_noCBO_bc_ENG,,,2025-11-17 18:10:46
AND_LK_Tier-1(AU,CA)_M_24-65+_CPA[session_started_3]_17112025_KH_noCBO_bc_ENG,120234676409240622,120234677752700622,2025-11-17 19:08:04
AND_DC_Europe(DE)_M_18-65+_CPA[session_started_4]_17112025_KH_noCBO_bc_DE,,,2025-11-17 20:02:29
AND_DC_Europe(DE)_M_18-65+_CPA[session_started_4]_17112025_KH_noCBO_bc_DE,120237125542270324,120237125547260324,2025-11-17 20:06:32
AND_DC_Africa(EG)_MF_18-65+_CPA[session_started_3]_17112025_KH_noCBO_bc_ALL_DC2,120236182872380412,120236182873730412,2025-11-17 20:39:42
AND_DC_Latam_M_18-65+_CPA[session_started_4]_17112025_KH_noCBO_bc_ES_DC1,120237127585930324,120237127586580324,2025-11-17 21:47:10
AND_PM_WW_MF_21-65+_tROAS_17112025_KH_noCBO_lc_FR_PM1,120240129177310357,120240129178110357,2025-11-17 22:16:03
AND_DC_Europe_MF_18-65+_tROAS_18112025_KH_noCBO_lc_FR_DC3,120237190009700462,120237190032750462,2025-11-18 11:46:43
AND_DC_Tier-1(US)_MF_18-65+_CPA[session_started_4]_18112025_KH_noCBO_bc_EN_DC1,120237180252260324,120237180255290324,2025-11-18 14:55:54
AND_DC_Latam(MX)_MF_18-65+_CPA[session_started_4]_18112025_KH_noCBO_bc_ES_DC1,120237180255870324,120237180258020324,2025-11-18 14:55:57
AND_DC_Latam(BR)_MF_18-65+_CPA[session_started_4]_18112025_KH_noCBO_bc_PT_DC1,120237180260940324,120237180263730324,2025-11-18 14:56:01
AND_DC_Europe(DE)_MF_18-65+_CPA[session_started_4]_18112025_KH_noCBO_bc_DE_DC1,120237180264700324,120237180266120324,2025-11-18 14:56:04
AND_DC_Europe(FR)_MF_18-65+_CPA[session_started_4]_18112025_KH_noCBO_bc_FR_DC1,120237180267300324,120237180268390324,2025-11-18 14:56:07
AND_DC_Latam_MF_18-65+_tROAS_18112025_KH_noCBO_lc_ES_DC3,120237202701290462,120237202701720462,2025-11-18 15:47:56
